date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:56:27	142920/142920	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2014:56:28%20GMT	https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany.html	(from )
07:56:28	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%226662ebd8-37%22	https://www.allinlondon.co.uk/robots.txt		(from )
07:56:28	1470/1470	---M--	200	added ('OK')	image/png	etag:%226662ebd8-5be%22	https://www.allinlondon.co.uk/favicon-32x32.png	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/favicon-32x32.png	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:28	648/648	---M--	200	added ('OK')	image/png	etag:%226662ebd8-288%22	https://www.allinlondon.co.uk/favicon-16x16.png	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/favicon-16x16.png	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:28	40056/40056	---M--	200	added ('OK')	image/jpeg	etag:%225ee0bdc6-9c78%22	https://www.allinlondon.co.uk/img/legacy/businesses/main/7895.jpg	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/img/legacy/businesses/main/7895.jpg	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:29	13989/13989	---M--	200	added ('OK')	image/png	etag:%226662ebd8-36a5%22	https://www.allinlondon.co.uk/images/ail-logo.png	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/images/ail-logo.png	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:29	176458/176458	---MCZ	200	added ('OK')	text/css	etag:%22679e69f7-2b14a%22	https://www.allinlondon.co.uk/css/core.css?id=d04c5f3ae3760866b35a	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/css/coreda79.css	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:35	22707/22707	---M--	200	added ('OK')	image/jpeg	etag:%226662ebd8-58b3%22	https://www.allinlondon.co.uk/images/megamenu/whats-on.jpg	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/images/megamenu/whats-on.jpg	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:38	31249/31249	---M--	200	added ('OK')	image/jpeg	etag:%226662ebd8-7a11%22	https://www.allinlondon.co.uk/images/megamenu/high-street.jpg	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/images/megamenu/high-street.jpg	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
07:56:40	32919/32919	---M--	200	added ('OK')	image/jpeg	etag:%226662ebd8-8097%22	https://www.allinlondon.co.uk/images/megamenu/nightlife.jpg	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.allinlondon.co.uk_directory_hairdressers_48484-kay-and-kompany/www.allinlondon.co.uk/images/megamenu/nightlife.jpg	(from https://www.allinlondon.co.uk/directory/hairdressers/48484-kay-and-kompany)
